Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
02/20/2020,1.48,1.38,1.32,1.4,53.78,0.3022445820433435,0.013947368421052708,-0.30493808049535587,-10.979649635036495,-10.979649635036495
02/20/2022,,,,,91.62,,,,26.86035036496351,26.86035036496351
02/21/2020,1.45,1.34,1.29,1.36,53.38,0.26224458204334367,-0.01605263157894732,-0.3449380804953557,-11.379649635036493,-11.379649635036493
02/21/2022,,,,,92.65,,,,27.89035036496351,27.89035036496351
02/22/2021,0.22,0.53,1.01,1.71,61.49,-0.5477554179566564,-0.29605263157894735,0.005061919504644186,-3.269649635036494,-3.269649635036494
02/22/2022,1.45,1.69,1.86,2.18,92.35,0.6122445820433435,0.5539473684210527,0.4750619195046444,27.5903503649635,27.5903503649635
02/23/2021,0.22,0.54,1.03,1.75,61.67,-0.5377554179566564,-0.2760526315789473,0.04506191950464422,-3.089649635036494,-3.089649635036494
02/23/2022,1.49,1.73,1.92,2.24,92.1,0.6522445820433436,0.6139473684210526,0.5350619195046444,27.3403503649635,27.3403503649635
02/24/2020,1.39,1.26,1.21,1.29,51.43,0.1822445820433436,-0.09605263157894739,-0.41493808049535574,-13.329649635036496,-13.329649635036496
02/24/2021,0.23,0.58,1.09,1.77,63.22,-0.49775541795665645,-0.21605263157894727,0.06506191950464424,-1.539649635036497,-1.539649635036497
02/24/2022,1.44,1.68,1.86,2.2,92.81,0.6022445820433435,0.5539473684210527,0.4950619195046444,28.050350364963506,28.050350364963506
02/25/2020,1.37,1.24,1.2,1.29,49.9,0.16224458204334358,-0.1060526315789474,-0.41493808049535574,-14.859649635036497,-14.859649635036497
02/25/2021,0.32,0.75,1.26,1.83,63.53,-0.3277554179566564,-0.046052631578947345,0.1250619195046443,-1.2296496350364947,-1.2296496350364947
02/25/2022,1.45,1.68,1.85,2.18,91.59,0.6022445820433435,0.5439473684210527,0.4750619195046444,26.830350364963508,26.830350364963508
02/26/2020,1.37,1.25,1.22,1.32,48.73,0.17224458204334359,-0.08605263157894738,-0.3849380804953557,-16.0296496350365,-16.0296496350365
02/26/2021,0.3,0.7,1.17,1.69,61.5,-0.37775541795665646,-0.13605263157894742,-0.014938080495355832,-3.259649635036496,-3.259649635036496
02/27/2020,1.3,1.19,1.16,1.28,47.09,0.11224458204334353,-0.14605263157894743,-0.42493808049535575,-17.669649635036492,-17.669649635036492
02/28/2020,1.19,1.1,1.1,1.26,44.76,0.022244582043343675,-0.20605263157894727,-0.44493808049535577,-19.999649635036498,-19.999649635036498
02/28/2022,1.37,1.59,1.78,2.13,95.72,0.5122445820433437,0.4739473684210527,0.4250619195046441,30.960350364963503,30.960350364963503
03/01/2021,0.25,0.63,1.15,1.69,60.64,-0.4477554179566564,-0.15605263157894744,-0.014938080495355832,-4.119649635036495,-4.119649635036495
03/01/2022,1.25,1.43,1.62,1.99,103.41,0.3522445820433435,0.31394736842105275,0.2850619195046442,38.6503503649635,38.6503503649635
03/02/2020,1.19,1.09,1.11,1.29,46.75,0.012244582043343666,-0.19605263157894726,-0.41493808049535574,-18.009649635036496,-18.009649635036496
03/02/2021,0.25,0.66,1.18,1.7,59.75,-0.4177554179566564,-0.12605263157894742,-0.004938080495355823,-5.009649635036496,-5.009649635036496
03/02/2022,1.41,1.58,1.73,2.06,110.6,0.5022445820433437,0.42394736842105263,0.3550619195046443,45.8403503649635,45.8403503649635
03/03/2020,0.99,0.91,0.94,1.16,47.18,-0.16775541795665638,-0.3660526315789474,-0.5449380804953559,-17.579649635036496,-17.579649635036496
03/03/2021,0.27,0.7,1.25,1.74,61.28,-0.37775541795665646,-0.056052631578947354,0.03506191950464421,-3.4796496350364947,-3.4796496350364947
03/03/2022,1.43,1.56,1.7,2.03,107.67,0.48224458204334364,0.3939473684210526,0.325061919504644,42.910350364963506,42.910350364963506
03/04/2020,0.95,0.89,0.95,1.2,46.78,-0.1877554179566564,-0.3560526315789474,-0.5049380804953558,-17.979649635036495,-17.979649635036495
03/04/2021,0.29,0.76,1.32,1.82,63.83,-0.3177554179566564,0.013947368421052708,0.11506191950464428,-0.9296496350364976,-0.9296496350364976
03/04/2022,1.33,1.44,1.57,1.96,115.68,0.36224458204334353,0.2639473684210527,0.2550619195046442,50.92035036496351,50.92035036496351
03/05/2020,0.81,0.75,0.81,1.04,45.9,-0.3277554179566564,-0.4960526315789473,-0.6649380804953557,-18.859649635036497,-18.859649635036497
03/05/2021,0.3,0.76,1.33,1.8,66.09,-0.3177554179566564,0.023947368421052717,0.09506191950464427,1.3303503649635076,1.3303503649635076
03/06/2020,0.72,0.67,0.71,0.52,41.28,-0.4077554179566564,-0.5960526315789474,-1.1849380804953558,-23.479649635036495,-23.479649635036495
03/07/2022,1.36,1.49,1.63,2.02,119.4,0.4122445820433436,0.32394736842105254,0.31506191950464424,54.64035036496351,54.64035036496351
03/08/2021,0.29,0.78,1.37,1.84,65.05,-0.2977554179566564,0.06394736842105275,0.1350619195046443,0.2903503649635013,0.2903503649635013
03/08/2022,1.41,1.58,1.74,2.12,123.7,0.5022445820433437,0.43394736842105264,0.4150619195046443,58.94035036496351,58.94035036496351
03/09/2020,0.55,0.53,0.54,0.67,31.13,-0.5477554179566564,-0.7660526315789473,-1.0349380804953556,-33.6296496350365,-33.6296496350365
03/09/2021,0.28,0.74,1.3,1.77,64.01,-0.3377554179566564,-0.0060526315789473095,0.06506191950464424,-0.7496496350364907,-0.7496496350364907
